	Frequency [Hz]	Amplitude [Pa]	Phase Angle [°]	
472	944,	13604	-175,59	
473	946,	13520	-175,61	
474	948,	13437	-175,63	
475	950,	13355	-175,65	
476	952,	13273	-175,66	
477	954,	13192	-175,68	
478	956,	13112	-175,7	
479	958,	13033	-175,71	
480	960,	12955	-175,73	
481	962,	12877	-175,75	
482	964,	12800	-175,76	
483	966,	12724	-175,78	
484	968,	12648	-175,79	
485	970,	12574	-175,81	
486	972,	12500	-175,82	
487	974,	12426	-175,84	
488	976,	12353	-175,85	
489	978,	12281	-175,87	
490	980,	12210	-175,88	
491	982,	12139	-175,9	
492	984,	12069	-175,91	
493	986,	12000	-175,92	
494	988,	11931	-175,94	
495	990,	11863	-175,95	
496	992,	11795	-175,96	
497	994,	11728	-175,98	
498	996,	11662	-175,99	
499	998,	11596	-176,	
500	1000,	11531	-176,02	
