	Frequency [Hz]	Amplitude [m]	Phase Angle [°]	
253	506,	4,4721e-006	-27,452	
254	508,	4,4945e-006	-28,432	
255	510,	4,517e-006	-29,449	
256	512,	4,5396e-006	-30,504	
257	514,	4,562e-006	-31,599	
258	516,	4,5841e-006	-32,735	
259	518,	4,6057e-006	-33,912	
260	520,	4,6268e-006	-35,132	
261	522,	4,647e-006	-36,396	
262	524,	4,6662e-006	-37,705	
263	526,	4,684e-006	-39,059	
264	528,	4,7003e-006	-40,459	
265	530,	4,7149e-006	-41,905	
266	532,	4,7273e-006	-43,397	
267	534,	4,7373e-006	-44,936	
268	536,	4,7446e-006	-46,52	
269	538,	4,7488e-006	-48,149	
270	540,	4,7498e-006	-49,822	
271	542,	4,7471e-006	-51,536	
272	544,	4,7404e-006	-53,291	
273	546,	4,7295e-006	-55,083	
274	548,	4,7142e-006	-56,911	
275	550,	4,6941e-006	-58,77	
276	552,	4,6692e-006	-60,657	
277	554,	4,6392e-006	-62,568	
278	556,	4,6042e-006	-64,499	
279	558,	4,564e-006	-66,445	
280	560,	4,5187e-006	-68,401	
281	562,	4,4684e-006	-70,363	
282	564,	4,4132e-006	-72,325	
283	566,	4,3534e-006	-74,283	
284	568,	4,2892e-006	-76,231	
285	570,	4,221e-006	-78,164	
286	572,	4,149e-006	-80,078	
287	574,	4,0737e-006	-81,969	
288	576,	3,9954e-006	-83,832	
289	578,	3,9146e-006	-85,663	
290	580,	3,8318e-006	-87,46	
291	582,	3,7473e-006	-89,22	
292	584,	3,6615e-006	-90,939	
293	586,	3,5749e-006	-92,617	
294	588,	3,4878e-006	-94,251	
295	590,	3,4007e-006	-95,839	
296	592,	3,3137e-006	-97,382	
297	594,	3,2273e-006	-98,879	
298	596,	3,1416e-006	-100,33	
299	598,	3,0569e-006	-101,73	
300	600,	2,9735e-006	-103,09	
301	602,	2,8914e-006	-104,4	
302	604,	2,8109e-006	-105,67	
303	606,	2,732e-006	-106,89	
304	608,	2,6549e-006	-108,06	
305	610,	2,5797e-006	-109,2	
306	612,	2,5063e-006	-110,29	
307	614,	2,4348e-006	-111,35	
308	616,	2,3653e-006	-112,36	
309	618,	2,2978e-006	-113,34	
310	620,	2,2322e-006	-114,28	
311	622,	2,1686e-006	-115,19	
312	624,	2,1069e-006	-116,06	
313	626,	2,0471e-006	-116,9	
314	628,	1,9892e-006	-117,71	
315	630,	1,9332e-006	-118,49	
316	632,	1,8789e-006	-119,24	
317	634,	1,8264e-006	-119,96	
318	636,	1,7756e-006	-120,66	
319	638,	1,7265e-006	-121,33	
320	640,	1,679e-006	-121,97	
321	642,	1,633e-006	-122,6	
322	644,	1,5886e-006	-123,2	
323	646,	1,5456e-006	-123,77	
324	648,	1,5041e-006	-124,33	
325	650,	1,4639e-006	-124,87	
326	652,	1,4251e-006	-125,39	
327	654,	1,3875e-006	-125,89	
328	656,	1,3512e-006	-126,37	
329	658,	1,316e-006	-126,84	
330	660,	1,282e-006	-127,29	
331	662,	1,2492e-006	-127,73	
332	664,	1,2173e-006	-128,15	
333	666,	1,1865e-006	-128,56	
334	668,	1,1567e-006	-128,95	
335	670,	1,1279e-006	-129,34	
336	672,	1,1e-006	-129,71	
337	674,	1,0729e-006	-130,06	
338	676,	1,0467e-006	-130,41	
339	678,	1,0214e-006	-130,75	
340	680,	9,9677e-007	-131,07	
341	682,	9,7295e-007	-131,39	
342	684,	9,4986e-007	-131,69	
343	686,	9,2749e-007	-131,99	
344	688,	9,0579e-007	-132,28	
345	690,	8,8474e-007	-132,56	
346	692,	8,6434e-007	-132,83	
347	694,	8,4454e-007	-133,1	
348	696,	8,2533e-007	-133,35	
349	698,	8,0669e-007	-133,6	
350	700,	7,8859e-007	-133,85	
351	702,	7,7103e-007	-134,09	
352	704,	7,5397e-007	-134,32	
353	706,	7,3741e-007	-134,54	
354	708,	7,2132e-007	-134,76	
355	710,	7,0569e-007	-134,98	
356	712,	6,905e-007	-135,19	
357	714,	6,7574e-007	-135,39	
358	716,	6,6139e-007	-135,59	
359	718,	6,4744e-007	-135,79	
360	720,	6,3388e-007	-135,98	
361	722,	6,2069e-007	-136,17	
362	724,	6,0787e-007	-136,35	
363	726,	5,9539e-007	-136,53	
364	728,	5,8325e-007	-136,71	
365	730,	5,7143e-007	-136,88	
366	732,	5,5993e-007	-137,05	
367	734,	5,4874e-007	-137,22	
368	736,	5,3784e-007	-137,39	
369	738,	5,2723e-007	-137,55	
370	740,	5,169e-007	-137,71	
371	742,	5,0683e-007	-137,87	
372	744,	4,9703e-007	-138,02	
373	746,	4,8748e-007	-138,18	
374	748,	4,7817e-007	-138,33	
375	750,	4,691e-007	-138,48	
376	752,	4,6026e-007	-138,63	
377	754,	4,5165e-007	-138,78	
378	756,	4,4325e-007	-138,93	
379	758,	4,3506e-007	-139,07	
380	760,	4,2707e-007	-139,22	
381	762,	4,1928e-007	-139,36	
382	764,	4,1169e-007	-139,51	
383	766,	4,0428e-007	-139,65	
384	768,	3,9705e-007	-139,79	
385	770,	3,9e-007	-139,93	
386	772,	3,8311e-007	-140,08	
387	774,	3,764e-007	-140,22	
388	776,	3,6984e-007	-140,36	
389	778,	3,6344e-007	-140,5	
390	780,	3,572e-007	-140,65	
